<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
RSTI;D;20200805;000000;1.6202;1.6398;1.6006;1.6175;177603000;287228427
RSTI;D;20200806;000000;1.618;1.623;1.5851;1.5992;152350000;244414915.8
RSTI;D;20200807;000000;1.601;1.6027;1.567;1.585;161827000;256285200.6
RSTI;D;20200810;000000;1.5852;1.6034;1.5777;1.5858;108867000;173549218.9
RSTI;D;20200811;000000;1.5897;1.6;1.5808;1.5937;102365000;162966249.5
RSTI;D;20200812;000000;1.593;1.6022;1.583;1.5935;103840000;165633747.5
RSTI;D;20200813;000000;1.5961;1.618;1.593;1.603;208220000;333666956.9
RSTI;D;20200814;000000;1.605;1.623;1.5767;1.5915;157216000;251058170.5
RSTI;D;20200817;000000;1.604;1.604;1.5704;1.5782;167885000;265521118.9
RSTI;D;20200818;000000;1.5782;1.5885;1.563;1.5727;101641000;160169335.8
RSTI;D;20200819;000000;1.569;1.5913;1.5622;1.591;88698000;140242477.3
RSTI;D;20200820;000000;1.59;1.59;1.528;1.53;311229000;485741371.8
RSTI;D;20200821;000000;1.5463;1.5489;1.5053;1.5199;184017000;280505179.1
RSTI;D;20200824;000000;1.5301;1.547;1.5163;1.5224;119079000;182382222.7
RSTI;D;20200825;000000;1.5353;1.5368;1.5062;1.5095;114324000;173538009.5
RSTI;D;20200826;000000;1.51;1.5229;1.4862;1.5093;199538000;299679605
RSTI;D;20200827;000000;1.5164;1.544;1.5025;1.514;220200000;335586993
RSTI;D;20200828;000000;1.522;1.522;1.4759;1.4844;173807000;259525660.8
RSTI;D;20200831;000000;1.4932;1.497;1.441;1.4525;308355000;451593657.1
RSTI;D;20200901;000000;1.457;1.4869;1.447;1.4845;140256000;206518112.5
RSTI;D;20200902;000000;1.49;1.5034;1.4478;1.4701;266362000;393186740.9
RSTI;D;20200903;000000;1.4707;1.4847;1.4464;1.4588;143645000;210042350.9
RSTI;D;20200904;000000;1.4559;1.4692;1.4333;1.4436;130802000;189762750.7
RSTI;D;20200907;000000;1.4436;1.4637;1.4386;1.457;85372000;124097992.7
RSTI;D;20200908;000000;1.465;1.4668;1.413;1.448;172872000;248165102.8
RSTI;D;20200909;000000;1.4351;1.4518;1.4158;1.4518;135978000;194577829.2
RSTI;D;20200910;000000;1.452;1.453;1.4227;1.4483;127908000;183769636.9
RSTI;D;20200911;000000;1.44;1.4847;1.4335;1.481;204899000;300599649.6
RSTI;D;20200914;000000;1.4886;1.5023;1.4702;1.4716;162354000;241035098.3
RSTI;D;20200915;000000;1.4758;1.4951;1.4714;1.4802;142710000;212019950.9
RSTI;D;20200916;000000;1.4846;1.5018;1.4542;1.462;222377000;329030453.8
RSTI;D;20200917;000000;1.4505;1.5268;1.4463;1.5268;472802000;711286621.4
RSTI;D;20200918;000000;1.5319;1.5437;1.5101;1.5371;286190000;437809377.8
RSTI;D;20200921;000000;1.5371;1.584;1.4751;1.492;577518000;884339744.9
RSTI;D;20200922;000000;1.484;1.516;1.482;1.4993;200879000;301686687.5
RSTI;D;20200923;000000;1.5;1.505;1.457;1.4743;202633000;301696388.2
RSTI;D;20200924;000000;1.476;1.5006;1.4591;1.4941;115500000;171219100.1
RSTI;D;20200925;000000;1.4941;1.5088;1.4434;1.4679;228285000;335187707.1
RSTI;D;20200928;000000;1.4775;1.4925;1.4671;1.488;97120000;143967763.6
RSTI;D;20200929;000000;1.48;1.4985;1.452;1.472;292043000;428199897.1
RSTI;D;20200930;000000;1.4727;1.4868;1.4617;1.4785;104410000;154093927.1
RSTI;D;20201001;000000;1.4821;1.4821;1.4336;1.4487;198679000;288260528
RSTI;D;20201002;000000;1.4389;1.4585;1.425;1.453;129248000;186177082.9
RSTI;D;20201005;000000;1.458;1.4717;1.4401;1.4688;131457000;191513754.3
