<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
SELG;D;20230428;000000;52.34;52.8;51.2;51.34;1220120;63409501.9
SELG;D;20230502;000000;50.61;52.8;49.16;51;3959590;204293408.3
SELG;D;20230503;000000;51;51.28;49.29;49.6;1306160;65498235.5
SELG;D;20230504;000000;49.51;51.44;48.5;50.52;1449460;72860176.2
SELG;D;20230505;000000;50.68;52.89;49.02;49.4;4530580;230793576.8
SELG;D;20230508;000000;49.62;49.82;49.26;49.32;421580;20866514.8
SELG;D;20230510;000000;50.6;52;49.6;52;3036010;154878208.3
SELG;D;20230511;000000;52.7;53;50.5;51.46;4736030;247099589.8
SELG;D;20230512;000000;51.39;51.39;49.8;50.02;2418430;121716516.6
SELG;D;20230515;000000;48.11;49.83;48.07;49.35;4653020;228701063.4
SELG;D;20230516;000000;49.83;49.83;49.11;49.38;1210630;59809362
SELG;D;20230517;000000;49.63;49.63;48.6;48.97;1228670;60286392.4
SELG;D;20230518;000000;49.03;49.7;48.62;48.77;1192840;58377672.1
SELG;D;20230519;000000;48.77;48.77;48.1;48.13;790530;38319743.7
SELG;D;20230522;000000;48.28;48.76;48.15;48.52;967790;46909866
SELG;D;20230523;000000;48.52;48.81;48.21;48.67;642020;31117482.3
SELG;D;20230524;000000;48.6;49.95;48.6;49.39;3012040;149190631.8
SELG;D;20230525;000000;49.4;49.57;48.53;49.05;989630;48653187.3
SELG;D;20230526;000000;49.23;49.42;49.06;49.24;540380;26600998.8
SELG;D;20230529;000000;49.5;49.6;48.8;48.94;947500;46569147.4
SELG;D;20230530;000000;48.59;49.13;48.18;48.67;1081120;52756147
SELG;D;20230531;000000;48.9;51.7;48.67;50.23;9119340;461219280.4
SELG;D;20230601;000000;50.5;51.15;48.91;49.77;2042800;102216426.2
SELG;D;20230602;000000;49.99;50.57;49.59;49.86;1241360;62241863.4
SELG;D;20230605;000000;50.1;50.7;49.81;49.98;1393800;69977553
SELG;D;20230606;000000;49.81;50.26;49.02;50.2;1461860;72402161.2
SELG;D;20230607;000000;50.2;50.8;49.63;49.78;917190;45892980.3
SELG;D;20230608;000000;49.53;49.85;49.51;49.7;518660;25746141
SELG;D;20230609;000000;49.7;50.03;49.51;49.75;581960;28991511.9
SELG;D;20230613;000000;49.94;52;49.77;50.78;2807410;143344757.4
SELG;D;20230614;000000;51;51.01;49.2;50.31;1150180;57875649.5
SELG;D;20230615;000000;50.07;50.42;49.5;49.92;984460;49242527.7
SELG;D;20230616;000000;49.92;50.37;49.9;50.06;615880;30890605.5
SELG;D;20230619;000000;50;50.35;49.55;50.1;622070;31114434
SELG;D;20230620;000000;50.94;50.94;49.91;50.22;806890;40563020.5
SELG;D;20230621;000000;54.8;54.8;49.92;51.18;5242140;272633831.8
SELG;D;20230622;000000;51.59;52.74;51.2;51.85;2593640;135268476.5
SELG;D;20230623;000000;51.85;52;50.1;51.49;2182380;111344120.3
SELG;D;20230626;000000;50.7;51.29;50.14;50.4;1107870;56093191.1
SELG;D;20230627;000000;50.45;51.04;50.4;50.53;621010;31530099.7
SELG;D;20230628;000000;50.73;51.24;50.27;50.65;922850;46845736.7
SELG;D;20230629;000000;50.53;50.9;50.12;50.28;530380;26775264.2
SELG;D;20230630;000000;50.39;50.65;49.91;50.39;735660;36981354.9
SELG;D;20230703;000000;50.47;51.27;50.39;51.07;780560;39828526.3
SELG;D;20230704;000000;51.18;51.35;50.32;51.05;629960;32135675.4
SELG;D;20230705;000000;51.5;52.64;51.3;52.03;2053380;106964277.1
SELG;D;20230706;000000;52.25;53.2;52.04;52.34;1911120;100763182.3
SELG;D;20230707;000000;52.34;53.1;51.51;52.51;1032810;54132818.1
SELG;D;20230710;000000;52.7;56.04;52.7;53.91;7092940;385806585.5
SELG;D;20230711;000000;54.27;57.7;53.94;55.89;8596820;484648598.6
SELG;D;20230712;000000;55.5;57.26;55.5;56.99;3805380;216292308
SELG;D;20230713;000000;58;58.6;56.08;57.63;8793070;504999650.9
SELG;D;20230714;000000;58;58;56.78;57.19;2197370;125849938.7
SELG;D;20230717;000000;57.48;57.98;56;57.31;2499810;143545980.6
SELG;D;20230718;000000;57.54;58.67;57.5;58.58;2501870;145417770.3
SELG;D;20230719;000000;59.2;59.67;58.22;59.02;2864470;169379139.4
SELG;D;20230720;000000;59.29;61.19;58.57;60.09;8164970;491686941.7
SELG;D;20230721;000000;60.2;60.9;59.04;60.79;2057950;123773817.8
SELG;D;20230724;000000;60.98;67.24;60.85;67;14552420;940189890
SELG;D;20230725;000000;70;77.2;67.56;77.05;76361560;5682584655.7
SELG;D;20230726;000000;76.63;85;72.65;74.03;97133250;7678151195.9
SELG;D;20230727;000000;74.2;78;73.07;74;24221950;1821152281.4
SELG;D;20230728;000000;73.55;75;71.12;73.13;13317800;965947376.5
SELG;D;20230731;000000;74;74.47;72.8;73.1;4390460;322075620.6
SELG;D;20230801;000000;73.45;77.38;72;74.3;24486670;1845516513.9
SELG;D;20230802;000000;75.06;75.89;74;74.48;5158970;386167213.9
SELG;D;20230803;000000;74.48;76.43;73.98;76.01;7452920;563526666.1
