<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
FEES;D;20230714;000000;0.10352;0.10358;0.10206;0.10256;1489020000;153044921.6
FEES;D;20230717;000000;0.1022;0.1068;0.1018;0.10638;5324210000;557888806.2
FEES;D;20230718;000000;0.1078;0.10994;0.10652;0.10984;5762000000;625982204.6
FEES;D;20230719;000000;0.11;0.11;0.10776;0.10868;3336820000;362809223.8
FEES;D;20230720;000000;0.1092;0.1092;0.1051;0.10542;3149320000;335888176.4
FEES;D;20230721;000000;0.10542;0.1082;0.10542;0.1062;2045060000;218494646.4
FEES;D;20230724;000000;0.106;0.10752;0.1055;0.10748;1308410000;139781282.8
FEES;D;20230725;000000;0.10748;0.10894;0.10692;0.10808;1733110000;186752632.6
FEES;D;20230726;000000;0.10812;0.10828;0.10572;0.10726;1823660000;195076747.4
FEES;D;20230727;000000;0.1078;0.1094;0.1064;0.10818;3356980000;364635304.4
FEES;D;20230728;000000;0.1086;0.11194;0.10798;0.11;6033230000;665619985.8
FEES;D;20230731;000000;0.113;0.1228;0.11154;0.12224;25172200000;2990553134.2
FEES;D;20230801;000000;0.12338;0.12338;0.1185;0.121;8578430000;1035406051.8
FEES;D;20230802;000000;0.121;0.12114;0.11902;0.1195;3907700000;468025456.8
FEES;D;20230803;000000;0.11922;0.126;0.11774;0.12564;9340610000;1144344733.6
FEES;D;20230804;000000;0.1257;0.12936;0.11946;0.12184;12094720000;1519191763.6
FEES;D;20230807;000000;0.1224;0.1287;0.12206;0.12406;6539700000;819841055.4
FEES;D;20230808;000000;0.12416;0.1279;0.1205;0.12756;4192370000;517545806.4
FEES;D;20230809;000000;0.12776;0.13474;0.12656;0.13348;12400940000;1628906032
FEES;D;20230810;000000;0.13392;0.13528;0.1311;0.1324;5048940000;671140981.6
FEES;D;20230811;000000;0.132;0.13398;0.1296;0.13344;2965220000;390647004
FEES;D;20230814;000000;0.13462;0.13686;0.128;0.12962;7454550000;991690146.2
FEES;D;20230815;000000;0.129;0.133;0.1252;0.1285;3726340000;484310471.4
