<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
MFON;D;20161013;000000;610;619;607.5;611.5;138520;85144660
MFON;D;20161014;000000;612.5;613;603;604;292080;177146270
MFON;D;20161017;000000;604.5;612;602.5;611;93120;56735275
MFON;D;20161018;000000;612;618;603;607;160700;98227065
MFON;D;20161019;000000;606;609;590;593;394800;234663055
MFON;D;20161020;000000;594.5;594.5;573;581;454000;263759140
MFON;D;20161021;000000;581;583;570.5;576.5;384400;221139185
MFON;D;20161024;000000;576.5;583;565;568;733380;421319640
MFON;D;20161025;000000;568;571;559.5;560.5;319760;180367485
MFON;D;20161026;000000;559;571;556;564;466370;261907510
MFON;D;20161027;000000;565;578.5;563;565;1177210;670609635
MFON;D;20161028;000000;567;584.5;564;583;528380;304834920
MFON;D;20161031;000000;584.5;605.5;583;602;548240;327483280
MFON;D;20161101;000000;605;610;590.1;606.2;369550;223944200
MFON;D;20161102;000000;602.5;610;596;602.2;314530;190392986
MFON;D;20161103;000000;601.5;607.9;599.5;605;153510;92829848
MFON;D;20161107;000000;600;604.8;587.7;593.2;249860;147857904
MFON;D;20161108;000000;594.5;596.3;585.2;588.1;143120;84557173
MFON;D;20161109;000000;585;593.3;582.1;592.5;194460;114554606
MFON;D;20161110;000000;592;596.3;585.5;587.5;294770;174070970
MFON;D;20161111;000000;586.9;589.5;579;580.8;343060;199941366
MFON;D;20161114;000000;578;585;572.7;573;206840;119652322
MFON;D;20161115;000000;570;572;561;562.7;664650;375949392
MFON;D;20161116;000000;564.8;566.4;551;556.6;756070;423034401
MFON;D;20161117;000000;557;559.7;549.9;550.7;313740;173492088
MFON;D;20161118;000000;550;559;538.5;539.5;552720;301828239
MFON;D;20161121;000000;540;542.4;530;530.2;517150;276263335
MFON;D;20161122;000000;533;546;528;540.7;548370;296501517
MFON;D;20161123;000000;545;553;538.1;547.5;391390;214512798
MFON;D;20161124;000000;548;555.4;545.1;551.5;229910;126471498
MFON;D;20161125;000000;550;552.9;546.7;548.7;160880;88472730
MFON;D;20161128;000000;548.1;550.8;541.1;542;269880;147020781
MFON;D;20161129;000000;542.5;562.4;539;561;554800;308690118
MFON;D;20161130;000000;562.9;580;556;567;746850;425015725
MFON;D;20161201;000000;569;588.9;569;586.8;868570;506474997
MFON;D;20161202;000000;589;604.6;585.7;599.5;561750;335314838
MFON;D;20161205;000000;600;608;598.8;603;447090;269635330
MFON;D;20161206;000000;604;605.7;592;601.8;614250;368976521
MFON;D;20161207;000000;600.1;604.4;592.1;597;308160;184197403
MFON;D;20161208;000000;596.5;602.9;595;595.6;339910;203544306
MFON;D;20161209;000000;597.9;599.9;592.7;593.9;275380;164041790
MFON;D;20161212;000000;596;605;589.1;605;571650;341148000
MFON;D;20161213;000000;606;616.8;602;609.9;587480;359172033
MFON;D;20161214;000000;610;614.8;598.9;603.9;382770;231401458
MFON;D;20161215;000000;605;609.5;595.4;608.9;516310;313000186
MFON;D;20161216;000000;608.9;616;605;616;748200;458912081
MFON;D;20161219;000000;598.5;598.6;588.8;590.5;526910;312242892
MFON;D;20161220;000000;591;591.6;583;583.5;282810;166262805
MFON;D;20161221;000000;583.3;583.4;570.6;570.6;352960;203013675
MFON;D;20161222;000000;570.7;576.3;565.2;569.3;360320;206049240
MFON;D;20161223;000000;569.3;585.7;540.5;581.4;1010880;567328860
MFON;D;20161226;000000;569;583;565.2;579;162160;93356940
MFON;D;20161227;000000;579;581.6;571;571.1;133730;76867672
MFON;D;20161228;000000;570.9;573.9;565;565.9;188370;107471866
MFON;D;20161229;000000;567;580.9;566.4;579;202490;116187708
MFON;D;20161230;000000;579;583.3;573.4;579.6;219610;127049434
MFON;D;20170103;000000;583;588.4;580;585.6;175310;102503364
MFON;D;20170104;000000;587.7;591.9;583;588.1;117990;69503419
MFON;D;20170105;000000;588.4;596.4;586.8;593.8;206340;122547619
MFON;D;20170106;000000;593.8;597.2;589;590.2;85300;50538369
MFON;D;20170109;000000;591.3;594.2;585;591.3;109590;64646572
MFON;D;20170110;000000;592.6;606.9;588.6;605.5;240860;143948954
MFON;D;20170111;000000;604.5;612.6;601;607.7;354900;215407600
MFON;D;20170112;000000;613.7;614.8;608;608.9;238320;145710496
MFON;D;20170113;000000;608.1;613;606;612;235180;143685300
MFON;D;20170116;000000;611.7;614.4;608.1;612.8;169890;104089606
MFON;D;20170117;000000;610.7;613.7;603.8;611.6;109730;66792915
MFON;D;20170118;000000;611.5;614;608.3;611;59180;36164395
MFON;D;20170119;000000;611.4;628.2;611.4;626.1;274270;170513436
MFON;D;20170120;000000;639;646;632.2;641.1;474300;303720565
MFON;D;20170123;000000;643;646.2;625;627.5;403120;255105093
MFON;D;20170124;000000;627.5;634.1;626.5;631.5;112140;70879147
MFON;D;20170125;000000;632.1;640;620;621;276620;173600457
MFON;D;20170126;000000;621;641.9;620.9;634.4;263380;167505289
MFON;D;20170127;000000;639;642.6;632.4;638.9;128050;81598367
MFON;D;20170130;000000;638.9;643;633.2;638.4;149490;95576563
MFON;D;20170131;000000;638;638.8;631.6;632.8;94640;60144463
MFON;D;20170201;000000;633;639;632.8;634.7;76570;48629496
MFON;D;20170202;000000;636.4;638;624;624.5;166480;104664051
MFON;D;20170203;000000;624.5;630.2;624;625.9;92190;57772703
MFON;D;20170206;000000;628.6;633;621.8;630.9;171620;107916552
