<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
MTLR;D;20230707;000000;186.28;187.85;182.99;185.29;4458749;827003275.69
MTLR;D;20230710;000000;186.43;191.5;185.29;191.19;4891563;923211893.26
MTLR;D;20230711;000000;190.86;192.44;187.76;189.36;3361330;637392233.07
MTLR;D;20230712;000000;189.99;193;188;191.39;3749645;713901898.1
MTLR;D;20230713;000000;191.39;193.87;188.36;189.87;3093306;590168124.71
MTLR;D;20230714;000000;189.37;191;187.53;190.33;2132838;404381632.29
MTLR;D;20230717;000000;189.5;192.37;184.85;187.09;11725404;2195079848.35
MTLR;D;20230718;000000;187.28;192.42;186.84;191.79;5767340;1097739471.8
MTLR;D;20230719;000000;192.01;193.59;189.52;190.66;3811058;727351411.18
MTLR;D;20230720;000000;191.24;191.31;186.5;186.98;5110836;963206873.87
MTLR;D;20230721;000000;186.43;188.83;185.65;188.6;3611380;676733164.97
MTLR;D;20230724;000000;188.86;190.9;188.36;190.6;2510153;476191281.69
MTLR;D;20230725;000000;190.97;191.08;189.52;191;2236067;425393143.8
MTLR;D;20230726;000000;191.1;203.6;191.05;202.96;17256682;3422355075.67
MTLR;D;20230727;000000;203.1;215;203.1;214.31;16552699;3476230331.18
MTLR;D;20230728;000000;214.4;217.8;208.5;215.99;10276270;2184892110.85
MTLR;D;20230731;000000;217.8;219.99;215.05;216.64;9305131;2016556953.55
MTLR;D;20230801;000000;217.2;219.35;211.61;217.4;6730350;1454057259.72
MTLR;D;20230802;000000;216.98;231.36;215.57;230.81;18380166;4145767263.21
MTLR;D;20230803;000000;231.77;236.42;228.2;234.92;12585385;2936424195.88
MTLR;D;20230804;000000;234.96;238.36;213.7;225.47;22293579;5072410691.17
MTLR;D;20230807;000000;226;229.7;217.54;219.91;10075474;2258605939.62
MTLR;D;20230808;000000;219.01;226.5;213.25;225.31;11127316;2437168634.3
MTLR;D;20230809;000000;226;228.3;222.42;224.08;5973196;1345368528.13
MTLR;D;20230810;000000;224.5;236.5;224.31;233.94;10118946;2323784079.34
MTLR;D;20230811;000000;234.85;236.8;230;235.19;6490133;1517069605.82
MTLR;D;20230814;000000;237;240.95;225.02;227.34;14542634;3409992747.41
MTLR;D;20230815;000000;226;233.4;222;226.97;8397521;1919898906.69
MTLR;D;20230816;000000;226.3;229.84;212.21;219.33;16796571;3675665665.54
MTLR;D;20230817;000000;221.98;224;215.38;219.4;6488510;1418312484.01
MTLR;D;20230818;000000;220.55;222;215.17;221.2;5683369;1236706055.65
MTLR;D;20230821;000000;222;224.13;217.5;220.76;5529827;1221945764.43
MTLR;D;20230822;000000;221.5;221.52;216.5;218.83;5100663;1112509839.91
MTLR;D;20230823;000000;218.93;219.99;209.12;210.3;9102514;1942580016.98
MTLR;D;20230824;000000;211.2;213.78;208.35;211.29;5728976;1210067768.8
MTLR;D;20230825;000000;212.1;212.64;208.82;210.86;4761736;1000060018.14
MTLR;D;20230828;000000;211;218.9;211;218.82;7889268;1700915768.48
MTLR;D;20230829;000000;219;219.48;208.07;210.1;15765261;3351912096.35
MTLR;D;20230830;000000;210.11;210.49;200.66;202.68;17510286;3570817756.41
MTLR;D;20230831;000000;203;207.98;201.18;206.01;7981265;1634424930.68
MTLR;D;20230901;000000;206.63;206.92;203.2;205.64;3810259;780613820.81
MTLR;D;20230904;000000;206.31;208.66;206.3;207.17;4716940;977441212.41
MTLR;D;20230905;000000;207.39;207.79;203.09;204.71;5825472;1192884092.28
MTLR;D;20230906;000000;204.89;205.3;201.1;203.56;4911783;996803947.19
MTLR;D;20230907;000000;204;204.45;197.28;199.21;7184753;1440744550.7
MTLR;D;20230908;000000;199.2;200.6;193.84;196.21;5780620;1133339766.28
MTLR;D;20230911;000000;196.02;197.23;190.84;192.1;6837166;1319470761.27
MTLR;D;20230912;000000;192.9;198.69;192.2;198.39;5155041;1006918776.48
MTLR;D;20230913;000000;198.94;198.94;192;192.78;4631032;904969939.04
