<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOLUME>;<AMOUNT>
PLZL;D;20250307;000000;1946.25;1967;1907.45;1939.95;1565760;
PLZL;D;20250310;000000;1945.1;1960;1877.3;1887.1;3306920;
PLZL;D;20250311;000000;1887.15;1915.15;1861.25;1903.05;1415390;
PLZL;D;20250312;000000;1909.75;1912.5;1886.8;1902.15;568620;
PLZL;D;20250313;000000;1903.6;1915;1845;1899.7;1770330;
PLZL;D;20250314;000000;1902.4;1941;1890;1933.3;1708250;
PLZL;D;20250315;000000;1933.3;1945;1926.65;1938.15;39670;
PLZL;D;20250316;000000;1938.2;1945;1931.1;1940.75;55320;
PLZL;D;20250317;000000;1944.5;1953.05;1925.55;1940.65;1100060;
PLZL;D;20250318;000000;1943.25;1953.8;1900;1900.1;1003550;
PLZL;D;20250319;000000;1908;1939.95;1890.05;1905.45;882280;
PLZL;D;20250320;000000;1910.05;1914.2;1871.8;1903.95;1128590;
PLZL;D;20250321;000000;1906.1;1915.35;1894;1901.7;577510;
PLZL;D;20250327;000000;1901.8;1971;1830;1867.6;1477013;
PLZL;D;20250328;000000;1879.6;1907.2;1854.4;1880;947458;
PLZL;D;20250329;000000;1880.2;1889;1868.4;1870.4;31130;
PLZL;D;20250330;000000;1870;1879;1845.6;1855.8;63302;
PLZL;D;20250331;000000;1856.2;1911.8;1840;1863.6;867372;
PLZL;D;20250401;000000;1871;1882.8;1755;1783;1717979;
PLZL;D;20250402;000000;1789;1819.6;1756;1811.4;1150717;
PLZL;D;20250403;000000;1818.8;1828.6;1692.4;1741.2;2068911;
PLZL;D;20250404;000000;1750;1800;1713;1741.2;2001890;
PLZL;D;20250405;000000;1725;1734.4;1675.4;1725;199498;
PLZL;D;20250406;000000;1725;1745;1718.8;1743;95984;
PLZL;D;20250407;000000;1741;1776.2;1665.8;1727.2;1952650;
PLZL;D;20250408;000000;1736;1828;1728.8;1776.8;1983986;
PLZL;D;20250409;000000;1787;1850;1762.2;1818.2;2420151;
PLZL;D;20250410;000000;1830.6;1850;1803;1850;1079612;
PLZL;D;20250411;000000;1864;1910;1863;1899.6;1593186;
PLZL;D;20250412;000000;1904.4;1940;1904;1935.2;220915;
PLZL;D;20250413;000000;1935.2;1942;1908;1924.8;174112;
PLZL;D;20250414;000000;1927.6;1943.4;1883.2;1897.8;1219597;
PLZL;D;20250415;000000;1905.4;1914.6;1883.4;1898;489378;
PLZL;D;20250416;000000;1911;1950;1906.2;1950;1467274;
PLZL;D;20250417;000000;1952;1958;1903;1924.2;1136403;
PLZL;D;20250418;000000;1924.2;1928;1854.2;1917.2;741378;
PLZL;D;20250421;000000;1929.2;1960;1922.4;1958;1668077;
PLZL;D;20250422;000000;1967;2003;1950.8;1954.2;1987813;
PLZL;D;20250423;000000;1947.8;1952;1890;1911;1106013;
PLZL;D;20250424;000000;1914;1943;1887;1904.8;1036591;
PLZL;D;20250425;000000;1856.8;1877;1829.4;1856.8;2155145;
PLZL;D;20250426;000000;1858;1870.8;1849.6;1849.8;113255;
PLZL;D;20250427;000000;1850.2;1859.8;1849.4;1854.6;63011;
PLZL;D;20250428;000000;1850;1854.8;1794.2;1816.6;1466161;
PLZL;D;20250429;000000;1810;1812.6;1756.4;1761.8;1001745;
PLZL;D;20250430;000000;1763.8;1765;1707.2;1751.4;1090417;
PLZL;D;20250502;000000;1751.6;1784;1700.8;1701.8;866698;
PLZL;D;20250503;000000;1705.2;1734.6;1703;1719.4;108676;
PLZL;D;20250504;000000;1724;1727.8;1717.2;1722.4;66571;
PLZL;D;20250505;000000;1722;1756.6;1703.8;1744.6;885057;
PLZL;D;20250506;000000;1753;1809.8;1750.2;1804.2;1050770;
PLZL;D;20250507;000000;1794.6;1803.8;1751;1763.4;1031156;
PLZL;D;20250508;000000;1772.8;1778;1738;1748.8;401772;
PLZL;D;20250510;000000;1749.8;1755;1743;1745.4;58202;
PLZL;D;20250511;000000;1747;1754.8;1742.2;1750;79140;
PLZL;D;20250512;000000;1745.2;1763.8;1702.2;1736.6;1354881;
PLZL;D;20250513;000000;1739;1776.6;1731;1759.8;746042;
PLZL;D;20250514;000000;1755;1757.6;1710.4;1712;778536;
PLZL;D;20250515;000000;1708;1710;1667.2;1684.6;1044502;
PLZL;D;20250516;000000;1682.8;1699;1652.2;1663.4;1045054;
PLZL;D;20250517;000000;1666.8;1679.2;1665;1676.2;56214;
PLZL;D;20250518;000000;1684;1685.4;1676.2;1680.6;58729;
PLZL;D;20250519;000000;1680.6;1683.4;1651;1655.6;642903;
PLZL;D;20250520;000000;1655.6;1715.6;1625.8;1705;1550339;
PLZL;D;20250521;000000;1706.2;1729.8;1688.4;1706;969577;
PLZL;D;20250522;000000;1710.2;1718.6;1649.4;1669.8;1057410;
PLZL;D;20250523;000000;1672;1724.2;1660.4;1719.4;972604;
PLZL;D;20250526;000000;1719.8;1738.6;1650.6;1663;884351;
PLZL;D;20250527;000000;1663;1665;1617;1653.6;669942;
PLZL;D;20250528;000000;1653.2;1692;1644.8;1688.8;648049;
PLZL;D;20250529;000000;1690;1700;1673.2;1680.8;513224;
PLZL;D;20250530;000000;1680.8;1695.6;1668.2;1687;425422;
PLZL;D;20250531;000000;1686;1689;1682.4;1688.2;15907;
PLZL;D;20250601;000000;1686.4;1692;1645;1649.6;118390;
PLZL;D;20250602;000000;1653;1735;1650;1729.8;1160112;
PLZL;D;20250603;000000;1727.2;1754.4;1724.4;1739;764795;
PLZL;D;20250604;000000;1742.8;1787.8;1728.8;1761.8;806581;
PLZL;D;20250605;000000;1762.2;1833.8;1762.2;1823.8;1181498;
PLZL;D;20250606;000000;1824.2;1845.8;1731.6;1746.2;1543959;
PLZL;D;20250607;000000;1755;1766.4;1743;1746.8;53925;
PLZL;D;20250608;000000;1757;1758.2;1740.4;1744.8;23355;
PLZL;D;20250609;000000;1742.4;1754.6;1690.6;1711.8;848603;
PLZL;D;20250610;000000;1715;1737.2;1685.4;1722.4;567235;
PLZL;D;20250611;000000;1734.4;1759.8;1711.8;1734;490279;
PLZL;D;20250613;000000;1757.6;1787.4;1743.2;1764.4;643572;
PLZL;D;20250614;000000;1770;1773;1753.2;1765.4;42898;
PLZL;D;20250615;000000;1765;1774;1748.2;1762.6;93259;
PLZL;D;20250616;000000;1762.6;1773.8;1701.8;1757;819135;
PLZL;D;20250617;000000;1757;1768;1725;1744.4;601082;
PLZL;D;20250618;000000;1745;1755;1725;1732.8;384737;
PLZL;D;20250619;000000;1733;1740;1703;1733;832371;
PLZL;D;20250620;000000;1730.2;1738;1710.2;1715.4;315530;
PLZL;D;20250623;000000;1729.4;1729.4;1701;1701.8;548951;
PLZL;D;20250624;000000;1701.8;1719.4;1669;1717.8;681203;
PLZL;D;20250625;000000;1719.4;1761;1710.4;1755.6;771204;
PLZL;D;20250626;000000;1759;1799.2;1751.2;1790;842620;
PLZL;D;20250627;000000;1768;1799;1756;1797.2;983474;
PLZL;D;20250628;000000;1790.4;1812.4;1784.8;1796.2;60592;
PLZL;D;20250629;000000;1796.2;1798.4;1784;1784.8;46440;
PLZL;D;20250630;000000;1784.8;1831;1778;1817.4;700880;
PLZL;D;20250701;000000;1819.2;1894.4;1813.2;1865;1553841;
PLZL;D;20250702;000000;1865.2;1889;1829.4;1867;971596;
PLZL;D;20250703;000000;1858.4;1880;1839.4;1851.6;598365;
PLZL;D;20250704;000000;1855.8;1916.8;1848;1908;1415565;
PLZL;D;20250705;000000;1908;1911.4;1901.2;1905;32161;
PLZL;D;20250706;000000;1904.4;1906.8;1900.4;1903.6;24395;
PLZL;D;20250707;000000;1897.8;1899.6;1866.2;1882;723182;
PLZL;D;20250708;000000;1880.2;1888.6;1841;1845.2;760412;
PLZL;D;20250709;000000;1840.2;1851.4;1802.4;1828.4;941250;
PLZL;D;20250710;000000;1830;1877.2;1822.8;1860.8;583113;
PLZL;D;20250711;000000;1863;1867;1777;1790;1270948;
PLZL;D;20250712;000000;1797.8;1798.8;1782.6;1784.2;28707;
PLZL;D;20250713;000000;1785;1787;1771;1780;26694;
PLZL;D;20250714;000000;1787;1838.4;1750.2;1837.6;1108760;
PLZL;D;20250715;000000;1839.6;1888;1835.8;1862;720223;
PLZL;D;20250716;000000;1862;1900.8;1841;1884.4;777626;
PLZL;D;20250717;000000;1884.2;1900;1872.2;1891;413572;
PLZL;D;20250718;000000;1897.6;1948.2;1854;1873;1653670;
PLZL;D;20250719;000000;1880.2;1889.4;1870.4;1877.4;68083;
PLZL;D;20250720;000000;1885;1888.8;1870;1877.8;46965;
PLZL;D;20250721;000000;1877.8;1955;1875;1943.2;1233070;
PLZL;D;20250722;000000;1945;1973.6;1925.6;1970;890945;
PLZL;D;20250723;000000;1964;1991.6;1960.6;1968.8;885103;
PLZL;D;20250724;000000;1961;1983.2;1951.4;1973;637158;
PLZL;D;20250725;000000;1970;1978;1907.4;1914.6;877967;
PLZL;D;20250726;000000;1919;1939.2;1915.4;1926.6;68467;
PLZL;D;20250727;000000;1926.6;1929.6;1916.2;1917.4;30244;
PLZL;D;20250728;000000;1926.6;1956.4;1903;1931;734370;
PLZL;D;20250729;000000;1936.8;2011;1929;1987;1748124;
PLZL;D;20250730;000000;1994.6;2007;1930;1930.8;1031622;
PLZL;D;20250731;000000;1938.2;1980;1934;1967.2;674120;
PLZL;D;20250801;000000;1968;1985;1943;1966.4;655782;
PLZL;D;20250804;000000;1966.6;2035;1958.2;2031.6;1501318;
PLZL;D;20250805;000000;2035;2063.8;2016;2048;1353203;
PLZL;D;20250806;000000;2048;2071.2;2022.6;2053.8;1300222;
PLZL;D;20250807;000000;2053;2085;2044;2079.4;1057172;
PLZL;D;20250808;000000;2084.6;2147;2073.8;2145;1329087;
PLZL;D;20250811;000000;2150;2248.2;2090;2108.4;2017274;
PLZL;D;20250812;000000;2116.4;2129.8;2045.2;2077;1626956;
PLZL;D;20250813;000000;2083;2120;2080.4;2097.4;1011014;
PLZL;D;20250814;000000;2108;2127.6;2080;2108;763137;
PLZL;D;20250815;000000;2109;2132;2105.6;2116.2;652310;
PLZL;D;20250816;000000;2104;2107;2068.2;2094.4;157665;
PLZL;D;20250817;000000;2095;2098.8;2075.2;2081.2;48288;
PLZL;D;20250818;000000;2081.4;2124.4;2081.2;2115.6;582978;
PLZL;D;20250819;000000;2119;2166;2116.6;2137.8;1413371;
PLZL;D;20250820;000000;2136.4;2163.6;2126;2146.8;739155;
PLZL;D;20250821;000000;2150.8;2181.8;2135.6;2147.4;765327;
PLZL;D;20250822;000000;2149.2;2203.2;2144.8;2194;1015960;
PLZL;D;20250823;000000;2195;2215;2194.6;2211;130758;
PLZL;D;20250824;000000;2215;2224;2206.8;2214.2;131843;
PLZL;D;20250825;000000;2215.8;2233.2;2187;2198;946946;
PLZL;D;20250826;000000;2205.4;2213.4;2176.2;2209.6;579277;
PLZL;D;20250827;000000;2209.6;2219.4;2124.2;2143.8;2032383;
PLZL;D;20250828;000000;2147;2170;2125.2;2165;868249;
PLZL;D;20250829;000000;2165.6;2166.6;2100;2138.2;948352;
PLZL;D;20250830;000000;2138.2;2145.4;2123.2;2130.8;57126;
PLZL;D;20250831;000000;2130.2;2136.6;2125;2135.8;34213;
PLZL;D;20250901;000000;2145.8;2190;2141;2182.4;862908;
PLZL;D;20250902;000000;2189.8;2228;2166.2;2223.8;1272222;
PLZL;D;20250903;000000;2225;2238.2;2204;2232.2;1272642;
PLZL;D;20250904;000000;2222.8;2232.8;2205.2;2219.4;780574;
PLZL;D;20250905;000000;2222;2240;2215.8;2235.6;1133356;
PLZL;D;20250906;000000;2238.4;2240;2231;2234.4;72888;
PLZL;D;20250907;000000;2237;2239.8;2232;2238.2;35625;
