<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
VSMO;D;20190111;000000;15940;15980;15740;15860;107;1698940
VSMO;D;20190114;000000;15920;15940;15620;15880;129;2042000
VSMO;D;20190115;000000;15940;15980;15900;15900;46;733220
VSMO;D;20190116;000000;15920;16000;15880;15920;50;796280
VSMO;D;20190117;000000;15960;15980;15900;15900;81;1288760
VSMO;D;20190118;000000;16000;16000;15860;15960;207;3295500
VSMO;D;20190121;000000;15980;16240;15540;15980;177;2826880
VSMO;D;20190122;000000;16000;16140;15800;16000;308;4919760
VSMO;D;20190123;000000;16000;16020;15860;15960;110;1754140
VSMO;D;20190124;000000;16060;16060;15800;16000;141;2250600
VSMO;D;20190125;000000;16000;16020;15920;16020;176;2810240
VSMO;D;20190128;000000;16040;16060;15900;16000;80;1279140
VSMO;D;20190129;000000;16080;16100;15880;16000;127;2026880
VSMO;D;20190130;000000;16040;16040;15960;16000;25;399640
VSMO;D;20190131;000000;16000;16020;15920;16020;41;655240
VSMO;D;20190201;000000;15900;16060;15880;15940;100;1597240
VSMO;D;20190204;000000;15980;16000;15940;15940;39;622880
VSMO;D;20190205;000000;16040;16100;15960;16000;93;1490960
VSMO;D;20190206;000000;16000;16080;16000;16080;106;1699260
VSMO;D;20190207;000000;16060;16360;16060;16300;247;4016220
VSMO;D;20190208;000000;16160;16300;16040;16200;114;1845040
VSMO;D;20190211;000000;16240;16240;16000;16020;124;2001520
VSMO;D;20190212;000000;16100;16180;16040;16180;77;1240380
VSMO;D;20190213;000000;16100;16140;16080;16100;45;724000
VSMO;D;20190214;000000;16000;16300;16000;16140;161;2592120
VSMO;D;20190215;000000;16080;16180;16060;16140;59;950580
VSMO;D;20190218;000000;16140;16300;16140;16240;137;2224440
VSMO;D;20190219;000000;16220;16460;16220;16340;163;2661940
VSMO;D;20190220;000000;16360;16400;16100;16240;169;2747720
VSMO;D;20190221;000000;16240;16400;16180;16240;118;1919940
VSMO;D;20190222;000000;16180;16240;16180;16240;29;470160
VSMO;D;20190225;000000;16320;16340;16200;16280;36;585300
VSMO;D;20190226;000000;16360;16400;16240;16300;39;635320
VSMO;D;20190227;000000;16320;16360;16240;16280;87;1416900
VSMO;D;20190228;000000;16300;16300;16240;16240;50;813000
VSMO;D;20190301;000000;16220;16300;16200;16240;62;1007700
VSMO;D;20190304;000000;16180;16280;16120;16220;66;1070800
VSMO;D;20190305;000000;16300;16540;16160;16260;117;1904600
VSMO;D;20190306;000000;16120;16280;16120;16200;102;1652800
VSMO;D;20190307;000000;16220;16240;16180;16180;83;1345020
VSMO;D;20190311;000000;16260;16360;16160;16320;135;2201180
VSMO;D;20190312;000000;16320;16320;16220;16260;30;488360
VSMO;D;20190313;000000;16240;16300;16100;16180;436;7062720
VSMO;D;20190314;000000;16240;16300;16180;16220;53;860080
VSMO;D;20190315;000000;16260;16320;16180;16220;208;3388640
VSMO;D;20190318;000000;16280;16340;16220;16300;35;569860
VSMO;D;20190319;000000;16300;16340;16260;16260;25;407520
VSMO;D;20190320;000000;16280;16340;16220;16320;47;764780
VSMO;D;20190321;000000;16340;16360;16280;16300;50;816500
VSMO;D;20190322;000000;16400;16400;16280;16300;64;1043240
VSMO;D;20190325;000000;16320;16320;16200;16240;54;877000
VSMO;D;20190326;000000;16200;16360;16200;16320;87;1417820
VSMO;D;20190327;000000;16240;16300;16240;16260;26;423100
VSMO;D;20190328;000000;16220;16300;16220;16260;93;1512300
VSMO;D;20190329;000000;16360;16360;16240;16260;29;472120
VSMO;D;20190401;000000;16300;16300;16140;16300;95;1544560
VSMO;D;20190402;000000;16300;16300;16240;16280;29;472240
VSMO;D;20190403;000000;16300;16400;16240;16380;117;1911560
VSMO;D;20190404;000000;16400;16440;16360;16440;63;1033620
VSMO;D;20190405;000000;16460;16560;16420;16540;125;2062480
VSMO;D;20190408;000000;16600;17920;16000;16480;247;4083680
VSMO;D;20190409;000000;16300;16480;16280;16460;58;950500
VSMO;D;20190410;000000;16460;16720;16380;16580;120;1984040
VSMO;D;20190411;000000;16540;16580;16400;16500;79;1300760
VSMO;D;20190412;000000;16480;16780;16480;16700;101;1683600
VSMO;D;20190415;000000;16760;16920;16720;16740;151;2537280
VSMO;D;20190416;000000;16800;16880;16700;16880;157;2639060
VSMO;D;20190417;000000;16940;17300;16840;17080;303;5178800
VSMO;D;20190418;000000;17160;17360;17140;17300;204;3518500
VSMO;D;20190419;000000;17280;17300;17040;17100;239;4112420
VSMO;D;20190422;000000;17080;17240;16940;17160;96;1639940
VSMO;D;20190423;000000;17260;17260;16940;17120;65;1113240
VSMO;D;20190424;000000;17200;17280;17120;17180;91;1563100
VSMO;D;20190425;000000;17080;17180;17060;17180;36;617100
VSMO;D;20190426;000000;17140;17200;17100;17140;123;2109300
VSMO;D;20190429;000000;17180;17220;17120;17140;71;1218360
VSMO;D;20190430;000000;17180;17340;17180;17260;141;2436140
VSMO;D;20190502;000000;17340;17480;17320;17420;167;2905440
VSMO;D;20190503;000000;17400;17560;17400;17520;334;5848600
VSMO;D;20190506;000000;17440;17600;17340;17520;103;1801060
VSMO;D;20190507;000000;17560;17620;17500;17520;95;1665860
VSMO;D;20190508;000000;17500;17580;17480;17580;73;1280700
VSMO;D;20190510;000000;17580;17740;17500;17500;122;2143420
VSMO;D;20190513;000000;17380;17640;17380;17500;432;7574920
VSMO;D;20190514;000000;17580;17620;17520;17520;66;1158080
VSMO;D;20190515;000000;17540;17600;17540;17540;161;2827760
VSMO;D;20190516;000000;17520;17580;16840;17160;1675;28805800
VSMO;D;20190517;000000;17140;17620;17140;17260;250;4343020
VSMO;D;20190520;000000;17500;17500;16940;17100;243;4161080
VSMO;D;20190521;000000;17140;17220;16940;17120;245;4177260
VSMO;D;20190522;000000;17200;17320;17200;17200;172;2964940
VSMO;D;20190523;000000;17280;17360;17200;17200;104;1795080
VSMO;D;20190524;000000;17240;17420;17220;17240;150;2598000
VSMO;D;20190527;000000;17280;17500;17200;17400;474;8227440
VSMO;D;20190528;000000;17460;17760;17060;17520;923;16129700
VSMO;D;20190529;000000;17480;17800;17440;17500;429;7539060
VSMO;D;20190530;000000;17520;17760;17380;17600;342;6002360
VSMO;D;20190531;000000;16700;17000;16680;16920;1114;18746740
VSMO;D;20190603;000000;16920;16920;16620;16840;366;6147660
VSMO;D;20190604;000000;16860;16860;16680;16760;128;2141460
VSMO;D;20190605;000000;16780;16780;16620;16760;159;2656740
VSMO;D;20190606;000000;16740;16800;16700;16800;165;2765900
VSMO;D;20190607;000000;16820;16940;16420;16580;449;7470520
VSMO;D;20190610;000000;16540;16700;16540;16640;103;1711960
VSMO;D;20190611;000000;16700;16920;16640;16820;157;2630980
VSMO;D;20190613;000000;16820;16900;16800;16820;144;2423220
VSMO;D;20190614;000000;16820;16900;16800;16860;75;1264160
VSMO;D;20190617;000000;16920;16920;16640;16880;376;6317040
VSMO;D;20190618;000000;16840;16860;16780;16800;87;1464680
VSMO;D;20190619;000000;16820;16860;16780;16780;186;3128520
VSMO;D;20190620;000000;16780;16940;16760;16860;133;2238940
VSMO;D;20190621;000000;16880;16900;16800;16880;140;2361300
VSMO;D;20190624;000000;16860;16860;16740;16780;160;2685800
VSMO;D;20190625;000000;16800;16900;16700;16760;118;1977820
VSMO;D;20190626;000000;16820;16900;16700;16740;75;1259620
VSMO;D;20190627;000000;16740;16860;16740;16800;72;1209540
VSMO;D;20190628;000000;16800;16860;16700;16760;132;2215560
VSMO;D;20190701;000000;16840;16880;16720;16800;274;4610560
VSMO;D;20190702;000000;16840;16860;16760;16840;77;1295740
