<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
RTKM;D;20230803;000000;76.5;79;76.13;79;18033150;1399263474.3
RTKM;D;20230804;000000;79.23;79.88;75.2;76.2;14696330;1141900554.8
RTKM;D;20230807;000000;76.53;79.4;76.27;76.84;6835580;531542654.7
RTKM;D;20230808;000000;76.84;77.59;75.06;76.82;4940920;378046827.3
RTKM;D;20230809;000000;77.09;77.37;75.98;76.93;2460190;188714651.1
RTKM;D;20230810;000000;77.31;77.31;76.01;76.9;3374310;259008548.8
RTKM;D;20230811;000000;76.9;77.38;76.24;76.6;2744480;210830101.2
RTKM;D;20230814;000000;77;77.28;74.23;74.42;6422710;488041345.5
RTKM;D;20230815;000000;74.3;77.2;73.56;75.25;10758090;817413293.4
RTKM;D;20230816;000000;75.48;75.72;73.06;74.02;4458360;331038177.5
RTKM;D;20230817;000000;73.75;74.74;73.58;74.45;2184980;161983420.5
RTKM;D;20230818;000000;74.5;76.76;74.11;76.38;3874720;291698752
RTKM;D;20230821;000000;76.65;76.83;75.93;76.25;2260070;172371964.5
RTKM;D;20230822;000000;76.25;76.45;75.18;75.75;2491680;188686068.7
RTKM;D;20230823;000000;75.55;75.99;73.9;74.35;3414480;255856601.5
RTKM;D;20230824;000000;74.41;75.3;74.09;74.82;1995500;148898562.3
RTKM;D;20230825;000000;75;75.05;74.46;74.73;1410020;105302694.1
RTKM;D;20230828;000000;74.89;75.62;74.6;75.52;2399530;180322808.1
RTKM;D;20230829;000000;75.68;75.68;74.8;75.23;2304660;173333531.8
RTKM;D;20230830;000000;75.25;75.41;74.72;75.31;1406890;105612451.2
RTKM;D;20230831;000000;75.32;76.5;75.21;75.88;3055710;231850073
RTKM;D;20230901;000000;76.06;76.5;75;75.95;2358910;178980140.8
RTKM;D;20230904;000000;75.52;76.47;75.52;76.2;3953110;300976282.6
RTKM;D;20230905;000000;76.3;76.8;76;76.77;3968270;303210313.8
RTKM;D;20230906;000000;76.77;78.83;76.06;77.85;7779890;603890524.1
RTKM;D;20230907;000000;77.85;79.71;74.43;75.56;14569740;1126665472.8
RTKM;D;20230908;000000;75.59;78.19;73.5;76.13;15826640;1210615245.4
RTKM;D;20230911;000000;76.48;76.53;74.63;75.61;4913460;370873704.3
RTKM;D;20230912;000000;75.72;76.83;75.2;76.45;4833230;367957797.5
RTKM;D;20230913;000000;76.68;77;75.13;75.52;2773900;210996151.1
RTKM;D;20230914;000000;75.52;75.91;73.15;74.29;5096530;378967556.7
RTKM;D;20230915;000000;74.5;75.72;73.9;74.77;2597180;194081256.7
RTKM;D;20230918;000000;74.94;75.68;74.31;74.67;2562760;192339679.6
RTKM;D;20230919;000000;74.7;74.98;71.72;72.36;5558040;405549179.2
RTKM;D;20230920;000000;72.36;73.98;70.95;73.11;4901540;356963650
RTKM;D;20230921;000000;73.11;73.21;71.13;71.5;3514040;253639886.6
RTKM;D;20230922;000000;71.3;72.19;70.95;71.95;2201750;157461838.4
RTKM;D;20230925;000000;72.35;73.75;71.5;73.32;1961450;141875774.3
RTKM;D;20230926;000000;73.24;73.52;72.32;73.1;1525450;111182210.8
