TICKER;DATE;PRICE
NLMK;20110321;120.7
NLMK;20110322;121.0
NLMK;20110323;121.6
NLMK;20110324;124.93
NLMK;20110325;126.8
NLMK;20110328;127.26
NLMK;20110329;125.0
NLMK;20110330;127.0
NLMK;20110331;125.1
NLMK;20110401;125.9
NLMK;20110404;124.14
NLMK;20110405;123.09
NLMK;20110406;122.34
NLMK;20110407;121.3
NLMK;20110408;119.95
NLMK;20110411;119.69
NLMK;20110412;115.1
NLMK;20110413;113.5
NLMK;20110414;111.13
NLMK;20110415;111.89
NLMK;20110418;106.0
NLMK;20110419;109.5
NLMK;20110420;112.4
NLMK;20110421;113.89
NLMK;20110422;113.88
NLMK;20110425;112.05
NLMK;20110426;110.4
NLMK;20110427;108.5
NLMK;20110428;105.45
NLMK;20110429;106.79
NLMK;20110503;102.5
NLMK;20110504;98.6
NLMK;20110505;101.27
NLMK;20110506;103.8
NLMK;20110510;103.66
NLMK;20110511;101.56
NLMK;20110512;101.83
NLMK;20110513;105.81
NLMK;20110516;106.99
NLMK;20110517;102.9
NLMK;20110518;103.93
NLMK;20110519;105.6
NLMK;20110520;104.28
NLMK;20110523;100.79
NLMK;20110524;102.73
NLMK;20110525;104.24
NLMK;20110526;103.38
NLMK;20110527;104.66
NLMK;20110530;104.39
NLMK;20110531;103.45
NLMK;20110601;102.2
NLMK;20110602;103.0
NLMK;20110603;102.1
NLMK;20110606;100.75
NLMK;20110607;103.06
NLMK;20110608;102.07
NLMK;20110609;105.1
NLMK;20110610;104.3
NLMK;20110614;103.33
NLMK;20110615;102.6
NLMK;20110616;102.46
NLMK;20110617;101.8
NLMK;20110620;99.41
NLMK;20110621;100.4
NLMK;20110622;102.0
NLMK;20110623;101.0
NLMK;20110624;105.0
NLMK;20110627;107.5
NLMK;20110628;108.17
NLMK;20110629;110.0
NLMK;20110630;108.3
NLMK;20110701;113.34
NLMK;20110704;112.61
NLMK;20110705;110.6
NLMK;20110706;109.32
NLMK;20110707;111.82
NLMK;20110708;111.9
NLMK;20110711;108.28
NLMK;20110712;110.87
NLMK;20110713;110.01
NLMK;20110714;110.74
NLMK;20110715;109.55
NLMK;20110718;106.25
NLMK;20110719;106.6
NLMK;20110720;106.81
NLMK;20110721;108.47
NLMK;20110722;108.51
NLMK;20110725;109.0
NLMK;20110726;109.15
NLMK;20110727;106.7
NLMK;20110728;106.65
NLMK;20110729;103.86
NLMK;20110801;105.46
NLMK;20110802;105.85
NLMK;20110803;100.8
NLMK;20110804;96.45
NLMK;20110805;94.05
NLMK;20110808;86.29
NLMK;20110809;89.29
NLMK;20110810;81.54
NLMK;20110811;80.64
NLMK;20110812;81.45
NLMK;20110815;83.98
NLMK;20110816;81.25
NLMK;20110817;85.13
NLMK;20110818;80.6
NLMK;20110819;77.49
NLMK;20110822;78.45
NLMK;20110823;77.0
NLMK;20110824;79.3
NLMK;20110825;77.54
NLMK;20110826;77.87
NLMK;20110829;81.15
NLMK;20110830;83.13
NLMK;20110831;87.46
NLMK;20110901;88.01
NLMK;20110902;84.84
NLMK;20110905;81.24
NLMK;20110906;81.66
NLMK;20110907;86.8
NLMK;20110908;87.3
NLMK;20110909;83.96
NLMK;20110912;81.95
NLMK;20110913;83.16
NLMK;20110914;83.0
NLMK;20110915;84.32
NLMK;20110916;84.86
NLMK;20110919;81.8
NLMK;20110920;84.15
NLMK;20110921;82.6
NLMK;20110922;72.3
NLMK;20110923;66.51
NLMK;20110926;66.71
NLMK;20110927;69.2
NLMK;20110928;69.7
NLMK;20110929;70.42
NLMK;20110930;66.1
NLMK;20111003;66.23
NLMK;20111004;60.68
NLMK;20111005;61.5
NLMK;20111006;67.79
NLMK;20111007;75.3
NLMK;20111010;79.75
NLMK;20111011;78.1
NLMK;20111012;80.62
NLMK;20111013;79.04
NLMK;20111014;81.76
NLMK;20111017;78.37
NLMK;20111018;76.65
NLMK;20111019;75.85
NLMK;20111020;74.09
NLMK;20111021;77.97
NLMK;20111024;86.0
NLMK;20111025;84.76
NLMK;20111026;86.98
NLMK;20111027;84.4
NLMK;20111028;83.44
NLMK;20111031;82.08
NLMK;20111101;77.08
NLMK;20111102;77.97
NLMK;20111103;77.9
NLMK;20111107;79.22
NLMK;20111108;77.7
NLMK;20111109;72.78
NLMK;20111110;71.89
NLMK;20111111;70.65
NLMK;20111114;72.02
NLMK;20111115;71.7
NLMK;20111116;69.3
NLMK;20111117;67.02
NLMK;20111118;65.88
NLMK;20111121;61.7
NLMK;20111122;63.7
NLMK;20111123;65.88
NLMK;20111124;64.7
NLMK;20111125;66.35
NLMK;20111128;69.5
NLMK;20111129;70.05
NLMK;20111130;73.5
NLMK;20111201;73.38
NLMK;20111202;74.05
NLMK;20111205;76.25
NLMK;20111206;73.2
NLMK;20111207;71.5
NLMK;20111208;70.15
NLMK;20111209;67.97
NLMK;20111212;64.4
NLMK;20111213;64.1
NLMK;20111214;63.62
NLMK;20111215;64.5
NLMK;20111216;64.11
NLMK;20111219;63.5
NLMK;20111220;64.73
NLMK;20111221;64.46
NLMK;20111222;63.09
NLMK;20111223;61.66
NLMK;20111226;62.67
NLMK;20111227;61.99
NLMK;20111228;63.1
NLMK;20111229;62.31
NLMK;20111230;62.8
NLMK;20120103;67.37
NLMK;20120104;66.8
NLMK;20120105;66.37
NLMK;20120106;67.6
NLMK;20120109;68.35
NLMK;20120110;69.88
NLMK;20120111;70.17
NLMK;20120112;71.45
NLMK;20120113;70.5
NLMK;20120116;69.95
NLMK;20120117;71.5
NLMK;20120118;71.5
NLMK;20120119;74.3
NLMK;20120120;72.84
NLMK;20120123;73.3
NLMK;20120124;71.35
NLMK;20120125;72.23
NLMK;20120126;74.07
NLMK;20120127;75.63
NLMK;20120130;72.8
NLMK;20120131;74.1
NLMK;20120201;74.99
NLMK;20120202;75.3
NLMK;20120203;77.77
NLMK;20120206;78.75
NLMK;20120207;77.14
NLMK;20120208;77.96
NLMK;20120209;77.4
NLMK;20120210;73.84
NLMK;20120213;75.6
NLMK;20120214;74.96
NLMK;20120215;75.36
NLMK;20120216;73.74
NLMK;20120217;74.08
NLMK;20120220;74.57
NLMK;20120221;73.11
NLMK;20120222;71.61
NLMK;20120224;72.95
NLMK;20120227;72.25
NLMK;20120228;70.77
NLMK;20120229;70.18
NLMK;20120301;71.68
NLMK;20120302;71.1
NLMK;20120305;71.4
NLMK;20120306;67.74
NLMK;20120307;68.04
NLMK;20120311;70.14
NLMK;20120312;69.04
NLMK;20120313;68.91
NLMK;20120314;69.23
NLMK;20120315;68.96
NLMK;20120316;68.01
NLMK;20120319;67.01
NLMK;20120320;66.03
NLMK;20120321;65.57
NLMK;20120322;63.76
NLMK;20120323;63.51
NLMK;20120326;63.8
NLMK;20120327;63.65
NLMK;20120328;61.93
NLMK;20120329;61.16
NLMK;20120330;61.78
NLMK;20120402;61.5
NLMK;20120403;62.24
NLMK;20120404;60.91
NLMK;20120405;61.48
NLMK;20120406;60.75
NLMK;20120409;61.98
NLMK;20120410;60.61
NLMK;20120411;60.56
NLMK;20120412;60.74
NLMK;20120413;62.5
NLMK;20120416;62.0
NLMK;20120417;62.4
NLMK;20120418;63.05
NLMK;20120419;64.5
NLMK;20120420;64.52
NLMK;20120423;63.14
NLMK;20120424;62.86
NLMK;20120425;62.37
NLMK;20120426;62.05
NLMK;20120427;63.15
NLMK;20120428;63.59
NLMK;20120502;61.65
NLMK;20120503;61.11
NLMK;20120504;56.91
NLMK;20120505;55.67
NLMK;20120507;53.0
NLMK;20120508;56.23
NLMK;20120510;55.73
NLMK;20120511;53.88
NLMK;20120512;54.1
